Section Code,Organization Name,School Term,Genius School Term
ISS.CP.LA010.C.1,2 QA FocalPoint School,2526FY,13
ISS.CP.LA010.D.1,2 QA FocalPoint School,2526FY,13
ISS.CP.MA002.A.1,2 QA FocalPoint School,2526FY,13
ISS.CP.MA002.B.1,2 QA FocalPoint School,2526FY,13
ISS.CP.MA002.C.1,2 QA FocalPoint School,2526FY,13
ISS.CP.MA002.D.1,2 QA FocalPoint School,2526FY,13
ISS.CP.MA003.A.1,2 QA FocalPoint School,2526FY,13
ISS.CP.MA003.B.1,2 QA FocalPoint School,2526FY,13
ISS.CP.MA003.C.1,2 QA FocalPoint School,2526FY,13
ISS.CP.MA003.D.1,2 QA FocalPoint School,2526FY,13
ISS.CP.MA004.A.1,2 QA FocalPoint School,2526FY,13
ISS.CP.MA004.B.1,2 QA FocalPoint School,2526FY,13
ISS.CP.MA004.C.1,2 QA FocalPoint School,2526FY,13
ISS.CP.MA004.D.1,2 QA FocalPoint School,2526FY,13
ISS.CP.MA001.A.1,2 QA FocalPoint School,2526FY,13
ISS.CP.MA001.B.1,2 QA FocalPoint School,2526FY,13
ISS.CP.MA001.C.1,2 QA FocalPoint School,2526FY,13
ISS.CP.MA001.D.1,2 QA FocalPoint School,2526FY,13
ISS.CP.SC004.A.1,2 QA FocalPoint School,2526FY,13
ISS.CP.SC004.B.1,2 QA FocalPoint School,2526FY,13
ISS.CP.SC004.C.1,2 QA FocalPoint School,2526FY,13
ISS.CP.SC004.D.1,2 QA FocalPoint School,2526FY,13
ISS.CP.SC007.A.1,2 QA FocalPoint School,2526FY,13
ISS.CP.SC007.B.1,2 QA FocalPoint School,2526FY,13
ISS.CP.SC007.C.1,2 QA FocalPoint School,2526FY,13
ISS.CP.SC007.D.1,2 QA FocalPoint School,2526FY,13
ISS.CP.SC005.A.1,2 QA FocalPoint School,2526FY,13
ISS.CP.SC005.B.1,2 QA FocalPoint School,2526FY,13
ISS.CP.SC005.C.1,2 QA FocalPoint School,2526FY,13
ISS.CP.SC005.D.1,2 QA FocalPoint School,2526FY,13
ISS.CP.SC006.A.1,2 QA FocalPoint School,2526FY,13
ISS.CP.SC006.B.1,2 QA FocalPoint School,2526FY,13
ISS.CP.SC006.C.1,2 QA FocalPoint School,2526FY,13
ISS.CP.SC006.D.1,2 QA FocalPoint School,2526FY,13
ISS.CP.SS003.A.1,2 QA FocalPoint School,2526FY,13
ISS.CP.SS003.B.1,2 QA FocalPoint School,2526FY,13
ISS.CP.SS003.C.1,2 QA FocalPoint School,2526FY,13
